name,category,declaration_location,current_default,existing_sweep_range,recommended_sweep_range,status,notes
SwingConfig.max_open_positions,risk,swing_trader.py:SwingConfig,15,"Not defined",[10; 15; 25],Active,
SwingConfig.cooldown_sec,lifecycle,swing_trader.py:SwingConfig,300.0,"Not defined",[60; 120; 300],Conflicting,profiles use 120
SwingConfig.history_len,signal/feature,swing_trader.py:SwingConfig,200,"Not defined",[100; 200; 500],Active,
SwingConfig.require_confluence,entry,swing_trader.py:SwingConfig,false,"Not defined",[true; false],Active,
SwingConfig.min_confluence,entry,swing_trader.py:SwingConfig,2,"Not defined",[2; 3],Active,
SwingConfig.confluence_rsi,entry,swing_trader.py:SwingConfig,30.0,"Not defined",[25; 30; 35],Active,
SwingConfig.confluence_volume_usd,entry,swing_trader.py:SwingConfig,25000.0,"Not defined",[10000; 25000; 50000],Active,
SwingConfig.confluence_book_min,microstructure,swing_trader.py:SwingConfig,2.5,"Not defined",[2.0; 2.5; 3.0],Conflicting,
DEFAULT_CHUNK_ROWS,data/ingest,ingest.py:DEFAULT_CHUNK_ROWS,500000,"Not defined","Not a research parameter",Active,
cli.paper-trade.duration,CLI/config,cli.py:paper-trade --duration,120.0,"Not defined","Ops only (GHA uses 18000)",Active,
cli.swing-trade.stall_hours,lifecycle,cli.py:swing-trade --stall-hours,36.0,"Not defined",[24; 36; 48; 72],Active,Aligned with SwingConfig.stall_hours=36.0 (was 48.0)
StrategyParams.require_price_volume_divergence,entry,backtest.py:StrategyParams,false,"Not defined",[false; true],Partially wired,Field exists but iter_grid_params never sets True — not in default grid
momentum_6h grid,entry,backtest.py:iter_grid_params,["any"],["any"],["any"; "pos"; "neg"],Partially wired,Axis declared but default grid freezes momentum_6h at any
logit_half_tick,signal/feature,research/logit.py:DEFAULT_HALF_TICK,0.005,"Not defined",[0.001; 0.005; 0.01],Active,New foundation
FEE_MODEL_VERSION,fee,research/fees.py:FEE_MODEL_VERSION,"2026-07-polymarket-v1","Not defined","Version pin only",Active,New foundation
ExecutionConfig.latency_ms,execution,research/execution.py:ExecutionConfig,50.0,"Not defined",[0; 50; 100; 250; 500],Partially wired,Present on PaperConfig and FillResult.meta; but does not delay quote selection or change fill price (inert until delayed-book model exists).
PaperConfig.use_book_walk,execution,paper_trader.py:PaperConfig,false,"Not defined",[false; true],Partially wired,Opt-in L1 ask cross; CLI does not expose the flag; no historical L2
PaperTrader.matches.min_volume_spike,entry,paper_trader.py:PaperTrader.matches,null,"Not defined",[null; 1.5; 2.0; 3.0],Declared but unused,If set; matches() always returns False — LiveFeatures lacks volume_spike
PaperTrader.matches.max_time_to_resolution_hours,entry,paper_trader.py:PaperTrader.matches,null,"Not defined",[null; 24; 48; 72],Declared but unused,If set; matches() always returns False — LiveFeatures lacks TTR
exogenous.*,exogenous,research/exogenous.py,null,"Not defined","Blocked until PIT providers exist",Declared but unused,Provider stubs only
